Train,Test,U,T,Q,Q_t
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72,POI_228,83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25,-3.533333333333333
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228,POI_72,83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333,-3.4166666666666665
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72,POI_84,83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665,-8.483333333333333
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84,POI_185,83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333,-20.95
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185,POI_84,83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95,-48.85
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84,POI_185,83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85,-20.95
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84 POI_185,POI_84,83 83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5 36.53333333333333,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85 -20.95,-48.85
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84 POI_185 POI_84,POI_185,83 83 83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5 36.53333333333333 -36.5,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85 -20.95 -48.85,-20.95
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84 POI_185 POI_84 POI_185,POI_84,83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5 36.53333333333333 -36.5 36.53333333333333,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85 -20.95 -48.85 -20.95,-48.85
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84 POI_185 POI_84 POI_185 POI_84,POI_185,83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5 36.53333333333333 -36.5 36.53333333333333 -36.5,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85 -20.95 -48.85 -20.95 -48.85,-20.95
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84 POI_185 POI_84 POI_185 POI_84 POI_185,POI_187,83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5 36.53333333333333 -36.5 36.53333333333333 -36.5 36.53333333333333,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85 -20.95 -48.85 -20.95 -48.85 -20.95,0.7333333333333333
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84 POI_72 POI_228 POI_72 POI_84 POI_185 POI_84 POI_185 POI_84 POI_185 POI_84 POI_185 POI_187,POI_84,83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1 4.233333333333333 0.75 -0.7166666666666667 -4.2 36.53333333333333 -36.5 36.53333333333333 -36.5 36.53333333333333 -36.5 36.53333333333333 13.083333333333334,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1 -53.25 -3.533333333333333 -3.4166666666666665 -8.483333333333333 -20.95 -48.85 -20.95 -48.85 -20.95 -48.85 -20.95 0.7333333333333333,-49.96666666666667
POI_131,POI_98,84,1,1,-10.05
POI_131 POI_98,POI_133,84 84,1 0.7833333333333333,1 -10.05,7.716666666666667
POI_131 POI_98 POI_133,POI_131,84 84 84,1 0.7833333333333333 7.716666666666667,1 -10.05 7.716666666666667,-8.45
POI_68,POI_13,84,1,1,34.55
POI_133,POI_98,84,1,1,10.7
POI_133 POI_98,POI_84,84 84,1 10.7,1 10.7,20.383333333333333
POI_133 POI_98 POI_84,POI_224,84 84 84,1 10.7 20.383333333333333,1 10.7 20.383333333333333,1.6666666666666667
POI_133 POI_98 POI_84 POI_224,POI_228,84 84 84 84,1 10.7 20.383333333333333 1.6666666666666667,1 10.7 20.383333333333333 1.6666666666666667,7.416666666666667
POI_133 POI_98 POI_84 POI_224 POI_228,POI_187,84 84 84 84 84,1 10.7 20.383333333333333 1.6666666666666667 7.416666666666667,1 10.7 20.383333333333333 1.6666666666666667 7.416666666666667,12.816666666666666
POI_133 POI_98 POI_84 POI_224 POI_228 POI_187,POI_185,84 84 84 84 84 84,1 10.7 20.383333333333333 1.6666666666666667 7.416666666666667 12.816666666666666,1 10.7 20.383333333333333 1.6666666666666667 7.416666666666667 12.816666666666666,7.75
POI_133 POI_98 POI_84 POI_224 POI_228 POI_187 POI_185,POI_232,84 84 84 84 84 84 84,1 10.7 20.383333333333333 1.6666666666666667 7.416666666666667 12.816666666666666 7.75,1 10.7 20.383333333333333 1.6666666666666667 7.416666666666667 12.816666666666666 7.75,33.78333333333333
POI_230,POI_134,84,1,1,25.15
POI_230 POI_134,POI_135,84 84,1 31.433333333333334,1 25.15,7.0
POI_230,POI_228,85,1,1,174.31666666666666
POI_181,POI_84,85,1,1,248.55
POI_88,POI_231,86,1,1,193.15
POI_76,POI_100,87,1,1,74.65
POI_120,POI_121,87,1,1,383.15
POI_163,POI_202,88,1,1,0.9666666666666667
POI_163 POI_202,POI_35,88 88,1 0.9666666666666667,1 0.9666666666666667,59.416666666666664
POI_163 POI_202 POI_35,POI_188,88 88 88,1 0.9666666666666667 59.416666666666664,1 0.9666666666666667 59.416666666666664,3.216666666666667
POI_163 POI_202 POI_35 POI_188,POI_230,88 88 88 88,1 0.9666666666666667 59.416666666666664 3.216666666666667,1 0.9666666666666667 59.416666666666664 3.216666666666667,2.066666666666667
POI_224,POI_223,88,1,1,14.25
POI_224 POI_223,POI_35,88 88,1 14.25,1 14.25,150.3
POI_230,POI_99,89,1,1,2.6333333333333333
POI_230 POI_99,POI_231,89 89,1 6.333333333333333,1 2.6333333333333333,-9.816666666666666
POI_230 POI_99 POI_231,POI_99,89 89 89,1 6.333333333333333 2.783333333333333,1 2.6333333333333333 -9.816666666666666,-2.75
POI_230 POI_99 POI_231 POI_99,POI_188,89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75,1 2.6333333333333333 -9.816666666666666 -2.75,3.45
POI_230 POI_99 POI_231 POI_99 POI_188,POI_35,89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05,1 2.6333333333333333 -9.816666666666666 -2.75 3.45,-564.35
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35,POI_90,89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35,15.7
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35 POI_90,POI_84,89 89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336 17.8,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35 15.7,191.66666666666666
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35 POI_90 POI_84,POI_228,89 89 89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336 17.8 192.91666666666666,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35 15.7 191.66666666666666,5.7
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35 POI_90 POI_84 POI_228,POI_188,89 89 89 89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336 17.8 192.91666666666666 5.7,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35 15.7 191.66666666666666 5.7,-260.9166666666667
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35 POI_90 POI_84 POI_228 POI_188,POI_131,89 89 89 89 89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336 17.8 192.91666666666666 5.7 -260.9166666666667,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35 15.7 191.66666666666666 5.7 -260.9166666666667,43.1
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35 POI_90 POI_84 POI_228 POI_188 POI_131,POI_3,89 89 89 89 89 89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336 17.8 192.91666666666666 5.7 -260.9166666666667 652.0333333333333,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35 15.7 191.66666666666666 5.7 -260.9166666666667 43.1,96.95
POI_230 POI_99 POI_231 POI_99 POI_188 POI_35 POI_90 POI_84 POI_228 POI_188 POI_131 POI_3,POI_29,89 89 89 89 89 89 89 89 89 89 89 89,1 6.333333333333333 2.783333333333333 -2.75 16.05 44.583333333333336 17.8 192.91666666666666 5.7 -260.9166666666667 652.0333333333333 96.95,1 2.6333333333333333 -9.816666666666666 -2.75 3.45 -564.35 15.7 191.66666666666666 5.7 -260.9166666666667 43.1 96.95,1.35
POI_47,POI_4,89,1,1,171.31666666666666
POI_47 POI_4,POI_220,89 89,1 171.31666666666666,1 171.31666666666666,12.966666666666667
POI_47 POI_4 POI_220,POI_124,89 89 89,1 171.31666666666666 12.966666666666667,1 171.31666666666666 12.966666666666667,7.0
POI_47 POI_4 POI_220 POI_124,POI_208,89 89 89 89,1 171.31666666666666 12.966666666666667 8.9,1 171.31666666666666 12.966666666666667 7.0,65.53333333333333
POI_47 POI_4 POI_220 POI_124 POI_208,POI_62,89 89 89 89 89,1 171.31666666666666 12.966666666666667 8.9 65.53333333333333,1 171.31666666666666 12.966666666666667 7.0 65.53333333333333,4.833333333333333
POI_47 POI_4 POI_220 POI_124 POI_208 POI_62,POI_136,89 89 89 89 89 89,1 171.31666666666666 12.966666666666667 8.9 65.53333333333333 4.833333333333333,1 171.31666666666666 12.966666666666667 7.0 65.53333333333333 4.833333333333333,3.7
POI_47 POI_4 POI_220 POI_124 POI_208 POI_62 POI_136,POI_87,89 89 89 89 89 89 89,1 171.31666666666666 12.966666666666667 8.9 65.53333333333333 4.833333333333333 4.116666666666666,1 171.31666666666666 12.966666666666667 7.0 65.53333333333333 4.833333333333333 3.7,16.8
POI_47 POI_4 POI_220 POI_124 POI_208 POI_62 POI_136 POI_87,POI_216,89 89 89 89 89 89 89 89,1 171.31666666666666 12.966666666666667 8.9 65.53333333333333 4.833333333333333 4.116666666666666 16.8,1 171.31666666666666 12.966666666666667 7.0 65.53333333333333 4.833333333333333 3.7 16.8,15.516666666666667
POI_150,POI_35,89,1,1,157.38333333333333
POI_150 POI_35,POI_38,89 89,1 178.5,1 157.38333333333333,20.733333333333334
POI_95,POI_57,90,1,1,406.15
POI_95 POI_57,POI_224,90 90,1 406.15,1 406.15,42.416666666666664
POI_95 POI_57 POI_224,POI_99,90 90 90,1 406.15 42.416666666666664,1 406.15 42.416666666666664,0.9
POI_95 POI_57 POI_224 POI_99,POI_229,90 90 90 90,1 406.15 42.416666666666664 0.9,1 406.15 42.416666666666664 0.9,10.833333333333334
POI_95 POI_57 POI_224 POI_99 POI_229,POI_230,90 90 90 90 90,1 406.15 42.416666666666664 0.9 10.833333333333334,1 406.15 42.416666666666664 0.9 10.833333333333334,37.18333333333333
POI_95 POI_57 POI_224 POI_99 POI_229 POI_230,POI_55,90 90 90 90 90 90,1 406.15 42.416666666666664 0.9 10.833333333333334 37.18333333333333,1 406.15 42.416666666666664 0.9 10.833333333333334 37.18333333333333,92.25
POI_65,POI_202,91,1,1,-86.86666666666666
POI_65 POI_202,POI_12,91 91,1 9.4,1 -86.86666666666666,-84.86666666666666
POI_65 POI_202 POI_12,POI_65,91 91 91,1 9.4 23.733333333333334,1 -86.86666666666666 -84.86666666666666,-33.083333333333336
POI_65 POI_202 POI_12 POI_65,POI_202,91 91 91 91,1 9.4 23.733333333333334 -33.083333333333336,1 -86.86666666666666 -84.86666666666666 -33.083333333333336,-86.86666666666666
POI_230,POI_14,93,1,1,20.283333333333335
POI_230 POI_14,POI_87,93 93,1 34.25,1 20.283333333333335,15.133333333333333
POI_230 POI_14 POI_87,POI_65,93 93 93,1 34.25 49.56666666666667,1 20.283333333333335 15.133333333333333,18.7
POI_12,POI_136,96,1,1,52.416666666666664
POI_218,POI_95,97,1,1,12.416666666666666
POI_218 POI_95,POI_131,97 97,1 12.416666666666666,1 12.416666666666666,34.63333333333333
POI_218 POI_95 POI_131,POI_230,97 97 97,1 12.416666666666666 34.63333333333333,1 12.416666666666666 34.63333333333333,3.85
POI_218 POI_95 POI_131 POI_230,POI_188,97 97 97 97,1 12.416666666666666 34.63333333333333 7.766666666666667,1 12.416666666666666 34.63333333333333 3.85,1.3
POI_218 POI_95 POI_131 POI_230 POI_188,POI_2,97 97 97 97 97,1 12.416666666666666 34.63333333333333 7.766666666666667 1.3,1 12.416666666666666 34.63333333333333 3.85 1.3,6.15
POI_218 POI_95 POI_131 POI_230 POI_188 POI_2,POI_38,97 97 97 97 97 97,1 12.416666666666666 34.63333333333333 7.766666666666667 1.3 7.566666666666666,1 12.416666666666666 34.63333333333333 3.85 1.3 6.15,8.433333333333334
POI_38,POI_102,97,1,1,37.05
POI_38 POI_102,POI_105,97 97,1 64.63333333333334,1 37.05,13.033333333333333
POI_38 POI_102 POI_105,POI_101,97 97 97,1 64.63333333333334 13.033333333333333,1 37.05 13.033333333333333,4.716666666666667
POI_131,POI_84,97,1,1,3.9833333333333334
POI_131 POI_84,POI_223,97 97,1 20.55,1 3.9833333333333334,18.983333333333334
POI_2,POI_66,97,1,1,18.966666666666665
POI_2 POI_66,POI_188,97 97,1 21.233333333333334,1 18.966666666666665,0.43333333333333335
POI_2 POI_66 POI_188,POI_99,97 97 97,1 21.233333333333334 0.43333333333333335,1 18.966666666666665 0.43333333333333335,4.516666666666667
POI_2 POI_66 POI_188 POI_99,POI_190,97 97 97 97,1 21.233333333333334 0.43333333333333335 7.783333333333333,1 18.966666666666665 0.43333333333333335 4.516666666666667,10.533333333333333
POI_2 POI_66 POI_188 POI_99 POI_190,POI_68,97 97 97 97 97,1 21.233333333333334 0.43333333333333335 7.783333333333333 12.366666666666667,1 18.966666666666665 0.43333333333333335 4.516666666666667 10.533333333333333,7.383333333333334
POI_97,POI_93,98,1,1,259.25
POI_97 POI_93,POI_131,98 98,1 259.25,1 259.25,38.583333333333336
POI_99,POI_150,99,1,1,380.3
POI_90,POI_38,100,1,1,7.75
POI_90 POI_38,POI_97,100 100,1 7.75,1 7.75,111.28333333333333
POI_90 POI_38 POI_97,POI_99,100 100 100,1 7.75 111.28333333333333,1 7.75 111.28333333333333,26.033333333333335
POI_131,POI_57,100,1,1,16.033333333333335
POI_38,POI_12,102,1,1,26.5
POI_177,POI_165,102,1,1,37.3
POI_177 POI_165,POI_163,102 102,1 38.516666666666666,1 37.3,20.516666666666666
POI_65,POI_202,102,1,1,32.18333333333333
POI_65 POI_202,POI_163,102 102,1 36.71666666666667,1 32.18333333333333,4.316666666666666
POI_235,POI_38,102,1,1,36.61666666666667
POI_84,POI_231,103,1,1,103.1
POI_230,POI_188,105,1,1,-3.066666666666667
POI_230 POI_188,POI_230,105 105,1 2.05,1 -3.066666666666667,-2.55
POI_230 POI_188 POI_230,POI_99,105 105 105,1 2.05 -2.0166666666666666,1 -3.066666666666667 -2.55,3.4833333333333334
POI_230 POI_188 POI_230 POI_99,POI_131,105 105 105 105,1 2.05 -2.0166666666666666 8.6,1 -3.066666666666667 -2.55 3.4833333333333334,5.033333333333333
POI_230 POI_188 POI_230 POI_99 POI_131,POI_190,105 105 105 105 105,1 2.05 -2.0166666666666666 8.6 8.9,1 -3.066666666666667 -2.55 3.4833333333333334 5.033333333333333,7.483333333333333
POI_230 POI_188 POI_230 POI_99 POI_131 POI_190,POI_84,105 105 105 105 105 105,1 2.05 -2.0166666666666666 8.6 8.9 10.3,1 -3.066666666666667 -2.55 3.4833333333333334 5.033333333333333 7.483333333333333,22.016666666666666
POI_131,POI_224,105,1,1,-62.166666666666664
POI_131 POI_224,POI_229,105 105,1 8.416666666666666,1 -62.166666666666664,-90.78333333333333
POI_131 POI_224 POI_229,POI_223,105 105 105,1 8.416666666666666 0.75,1 -62.166666666666664 -90.78333333333333,-60.96666666666667
POI_131 POI_224 POI_229 POI_223,POI_224,105 105 105 105,1 8.416666666666666 0.75 6.866666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667,-82.4
POI_131 POI_224 POI_229 POI_223 POI_224,POI_223,105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4,-83.93333333333334
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223,POI_154,105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334,-64.38333333333334
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154,POI_223,105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334,-18.2
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223,POI_224,105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2,-82.4
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224,POI_154,105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4,-73.5
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154,POI_224,105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5,-25.783333333333335
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224,POI_154,105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335,-73.5
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154,POI_157,105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5,0.11666666666666667
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157,POI_84,105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667,0.4666666666666667
